State,Population,African-American Alone,% African-American,% Victims Black,Disparity,# Black people killed,# Hispanic people killed,# Native American people killed,# Asian people killed,# Pacific Islanders killed,# White people killed,# Unknown Race people killed,# People Killed,Rate (Black People),Rate (All People),Disparity in Rate
Alabama,"4,779,736","1,251,311",26.18%,38%,12%,52,,,1,,73,12,138,5.94,4.12,1.44
Alaska,"710,231","23,263",3.28%,12%,9%,5,1,12,,,15,8,41,30.70,8.25,3.72
Arizona,"6,392,017","259,008",4.05%,9%,5%,31,114,14,,,141,43,343,17.10,7.67,2.23
Arkansas,"2,915,918","449,895",15.43%,27%,12%,28,3,,1,,59,12,103,8.89,5.05,1.76
California,"37,253,956","2,299,072",6.17%,16%,10%,186,489,7,44,9,333,118,1186,11.56,4.55,2.54
Colorado,"5,029,196","201,737",4.01%,9%,5%,21,67,5,4,,97,33,227,14.87,6.45,2.31
Connecticut,"3,574,097","362,296",10.14%,19%,9%,7,6,,1,,19,3,36,2.76,1.44,1.92
Delaware,"897,934","191,814",21.36%,45%,24%,9,,,,,8,3,20,6.70,3.18,2.11
District of Columbia,"601,723","300,000",49.86%,88%,39%,23,,,,,1,2,26,10.95,6.17,1.77
Florida,"18,801,310","2,999,862",15.96%,31%,15%,169,76,,6,,242,47,540,8.05,4.10,1.96
Georgia,"9,687,653","3,150,435",32.52%,37%,4%,98,13,,3,,109,42,265,4.44,3.91,1.14
Hawaii,"1,360,301","21,424",1.57%,3%,1%,1,4,,2,22,5,3,37,6.67,3.89,1.72
Idaho,"1,567,582","9,810",0.63%,2%,1%,1,6,2,,,36,3,48,14.56,4.37,3.33
Illinois,"12,830,632","1,866,414",14.55%,53%,38%,96,21,,1,,49,14,181,7.35,2.02,3.65
Indiana,"6,483,802","591,397",9.12%,32%,23%,40,6,,,,70,8,124,9.66,2.73,3.54
Iowa,"3,046,355","89,148",2.93%,13%,10%,6,2,,,,33,4,45,9.61,2.11,4.56
Kansas,"2,853,118","167,864",5.88%,15%,9%,11,8,,,,49,7,75,9.36,3.76,2.49
