latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.505,-172.586,310.6,3.8,1.8,2018-09-22,0035,A,0,6.0NRT,294,39.7,D
-0.38,-160.008,310.7,2,1.4,2018-09-22,0035,A,39,6.0NRT,298,18,D
-4.093,145.066,312.7,1.4,1.2,2018-09-22,0100,T,0,6.0NRT,297.4,14,D
-5.938,147.053,314,2.1,1.4,2018-09-22,0100,T,0,6.0NRT,295.7,17,D
-6.935,146.309,314.9,1.9,1.3,2018-09-22,0100,T,74,6.0NRT,292.2,21.6,D
-6.937,146.325,311.3,1.9,1.3,2018-09-22,0100,T,66,6.0NRT,293.1,13.8,D
-11.031,142.276,325.4,1.1,1.1,2018-09-22,0100,T,77,6.0NRT,293.2,18.6,D
-11.042,142.285,318,1.1,1.1,2018-09-22,0100,T,55,6.0NRT,291.6,10.1,D
-11.303,142.562,319.6,1.2,1.1,2018-09-22,0100,T,71,6.0NRT,292.5,15.4,D
-11.399,142.285,325.6,1.2,1.1,2018-09-22,0100,T,79,6.0NRT,298.7,16.3,D
-11.401,142.296,320.7,1.2,1.1,2018-09-22,0100,T,62,6.0NRT,297.4,10.3,D
-11.392,142.159,321.1,1.1,1.1,2018-09-22,0100,T,65,6.0NRT,300.1,10.1,D
-11.911,142.237,326.9,1.2,1.1,2018-09-22,0100,T,63,6.0NRT,299.5,16.7,D
-11.912,142.247,324.4,1.2,1.1,2018-09-22,0100,T,58,6.0NRT,298.4,14.1,D
-11.934,142.331,327.8,1.2,1.1,2018-09-22,0100,T,68,6.0NRT,299.1,21.6,D
-11.965,142.321,326.7,1.2,1.1,2018-09-22,0100,T,57,6.0NRT,300.7,20.4,D
-11.973,142.233,348.2,1.2,1.1,2018-09-22,0100,T,94,6.0NRT,300.9,59.1,D
-11.974,142.244,350.9,1.2,1.1,2018-09-22,0100,T,95,6.0NRT,300.8,66,D
-11.976,142.254,322.8,1.2,1.1,2018-09-22,0100,T,52,6.0NRT,297.7,9.9,D
-11.984,142.242,333.9,1.2,1.1,2018-09-22,0100,T,85,6.0NRT,301,27.6,D
-12.003,142.1,337.9,1.1,1.1,2018-09-22,0100,T,73,6.0NRT,300.6,35.1,D
-12.004,142.082,323.9,1.1,1.1,2018-09-22,0100,T,74,6.0NRT,301.7,15.4,D
-12.006,142.093,344.2,1.1,1.1,2018-09-22,0100,T,92,6.0NRT,301.9,51.5,D
-12.014,142.081,335.6,1.1,1.1,2018-09-22,0100,T,86,6.0NRT,299.5,32.9,D
-12.015,142.092,345.4,1.1,1.1,2018-09-22,0100,T,92,6.0NRT,299.7,53.6,D
-12.327,141.86,321.2,1.1,1.1,2018-09-22,0100,T,51,6.0NRT,297.8,7.9,D
-12.531,142.361,327,1.2,1.1,2018-09-22,0100,T,71,6.0NRT,304.4,17.6,D
-12.532,142.372,323.3,1.2,1.1,2018-09-22,0100,T,24,6.0NRT,303.2,12.1,D
-12.524,141.958,328.2,1.1,1.1,2018-09-22,0100,T,71,6.0NRT,303.3,14.6,D
-12.618,142.398,323.8,1.2,1.1,2018-09-22,0100,T,71,6.0NRT,301,13.1,D
-12.619,142.409,321.9,1.2,1.1,2018-09-22,0100,T,64,6.0NRT,299.4,11.1,D
-12.629,142.408,328.8,1.2,1.1,2018-09-22,0100,T,71,6.0NRT,300.4,19.6,D
-12.647,142.394,332.1,1.2,1.1,2018-09-22,0100,T,82,6.0NRT,299.8,27,D
-12.809,143.062,317.6,1.3,1.1,2018-09-22,0100,T,46,6.0NRT,293.8,13.7,D
-12.826,143.035,321.2,1.3,1.1,2018-09-22,0100,T,68,6.0NRT,295,19.4,D
-12.757,142.003,325.9,1.2,1.1,2018-09-22,0100,T,74,6.0NRT,303.7,12.1,D
-13.002,143.06,317,1.3,1.1,2018-09-22,0100,T,39,6.0NRT,296.8,13.1,D
-13.063,142.984,320,1.3,1.1,2018-09-22,0100,T,57,6.0NRT,299,14.4,D
-12.212,136.424,353.1,1.3,1.1,2018-09-22,0100,T,97,6.0NRT,304.4,77.2,D
-12.214,136.435,380.7,1.3,1.1,2018-09-22,0100,T,100,6.0NRT,309.1,202.2,D
-12.215,136.447,330.9,1.3,1.1,2018-09-22,0100,T,80,6.0NRT,305.4,18.6,D
-12.087,135.517,323.2,1.5,1.2,2018-09-22,0100,T,43,6.0NRT,303.4,16.3,D
-12.236,136.444,328.1,1.3,1.1,2018-09-22,0100,T,74,6.0NRT,307.3,12,D
-12.258,136.452,337,1.3,1.1,2018-09-22,0100,T,88,6.0NRT,307.3,29.7,D
-12.259,136.464,328.8,1.3,1.1,2018-09-22,0100,T,68,6.0NRT,304.6,14.2,D
-12.346,136.69,325.6,1.2,1.1,2018-09-22,0100,T,59,6.0NRT,305.3,9,D
-12.348,136.701,330.3,1.2,1.1,2018-09-22,0100,T,74,6.0NRT,305.9,16.2,D
-13.131,141.765,328.2,1.1,1.1,2018-09-22,0100,T,77,6.0NRT,304.3,13.8,D
-12.075,134.384,319.5,1.8,1.3,2018-09-22,0100,T,42,6.0NRT,300.3,13.9,D
-13.233,141.766,325.9,1.1,1.1,2018-09-22,0100,T,67,6.0NRT,301.8,11.6,D
-13.442,143.16,321.2,1.4,1.2,2018-09-22,0100,T,49,6.0NRT,300.7,13.5,D
-13.443,143.173,320.9,1.4,1.2,2018-09-22,0100,T,38,6.0NRT,301.8,12.4,D
-12.341,135.511,328.6,1.5,1.2,2018-09-22,0100,T,37,6.0NRT,308.3,17.1,D
-12.381,135.76,335.9,1.4,1.2,2018-09-22,0100,T,82,6.0NRT,307.3,33.1,D
-12.383,135.773,331.7,1.4,1.2,2018-09-22,0100,T,72,6.0NRT,307.6,22.9,D
-12.388,135.732,336.4,1.4,1.2,2018-09-22,0100,T,83,6.0NRT,307.3,36.1,D
-12.39,135.745,349.4,1.4,1.2,2018-09-22,0100,T,93,6.0NRT,309.8,74,D
-12.394,135.771,345.6,1.4,1.2,2018-09-22,0100,T,91,6.0NRT,310,60.1,D
-13.49,143.205,322.8,1.4,1.2,2018-09-22,0100,T,55,6.0NRT,301.2,16.4,D
-13.492,143.218,331.8,1.4,1.2,2018-09-22,0100,T,81,6.0NRT,301.5,34.3,D
-13.493,143.231,321.3,1.4,1.2,2018-09-22,0100,T,39,6.0NRT,300,14.3,D
-12.402,135.756,330.3,1.4,1.2,2018-09-22,0100,T,50,6.0NRT,309,20.5,D
-13.5,143.204,320.6,1.4,1.2,2018-09-22,0100,T,42,6.0NRT,299.6,13.2,D
-12.415,135.768,345.5,1.4,1.2,2018-09-22,0100,T,91,6.0NRT,309.8,60,D
-12.417,135.781,330.1,1.4,1.2,2018-09-22,0100,T,55,6.0NRT,309.4,19.8,D
-12.419,135.793,324.6,1.4,1.2,2018-09-22,0100,T,29,6.0NRT,307.6,9.3,D
-12.241,134.546,327.2,1.7,1.3,2018-09-22,0100,T,68,6.0NRT,304.4,22.6,D
-12.244,134.562,327.8,1.7,1.3,2018-09-22,0100,T,72,6.0NRT,303.9,24.7,D
-12.24,134.556,333,1.7,1.3,2018-09-22,0100,T,79,6.0NRT,303.5,41,D
-12.46,135.807,325.7,1.4,1.2,2018-09-22,0100,T,65,6.0NRT,308,12.3,D
-12.462,135.819,356.3,1.4,1.2,2018-09-22,0100,T,98,6.0NRT,309.1,98.7,D
-12.271,134.599,323.3,1.7,1.3,2018-09-22,0100,T,43,6.0NRT,303.9,16.1,D
-12.474,135.83,324.6,1.4,1.2,2018-09-22,0100,T,58,6.0NRT,307.9,10.8,D
-12.421,135.436,334.9,1.5,1.2,2018-09-22,0100,T,81,6.0NRT,310.3,33.1,D
-12.423,135.45,332.2,1.5,1.2,2018-09-22,0100,T,78,6.0NRT,309,26.5,D
-12.429,135.421,331.3,1.5,1.2,2018-09-22,0100,T,77,6.0NRT,309.3,26.1,D
-12.432,135.434,333.3,1.5,1.2,2018-09-22,0100,T,79,6.0NRT,309.3,30.5,D
-12.362,134.941,361.2,1.6,1.2,2018-09-22,0100,T,100,6.0NRT,307.9,147.1,D
-12.365,134.955,346.2,1.6,1.2,2018-09-22,0100,T,91,6.0NRT,307.8,76.1,D
-12.373,134.939,341,1.6,1.2,2018-09-22,0100,T,87,6.0NRT,307.5,56.4,D
-12.376,134.954,342.3,1.6,1.2,2018-09-22,0100,T,88,6.0NRT,307.7,60.3,D
-12.336,134.636,328.2,1.7,1.3,2018-09-22,0100,T,72,6.0NRT,305.5,27.6,D
-12.344,134.628,326,1.7,1.3,2018-09-22,0100,T,63,6.0NRT,304.4,23,D
-12.622,136.24,333.1,1.3,1.1,2018-09-22,0100,T,78,6.0NRT,308.1,27.2,D
-12.6,135.842,326.3,1.4,1.2,2018-09-22,0100,T,60,6.0NRT,305.3,15.3,D
-12.602,135.854,330.1,1.4,1.2,2018-09-22,0100,T,74,6.0NRT,306.1,22.8,D
-12.611,135.84,327.7,1.4,1.2,2018-09-22,0100,T,64,6.0NRT,306.1,17.3,D
-12.613,135.852,336.8,1.4,1.2,2018-09-22,0100,T,83,6.0NRT,307.7,37.1,D
-12.625,135.863,348.2,1.4,1.2,2018-09-22,0100,T,92,6.0NRT,308.3,68.5,D
-12.627,135.876,358.3,1.4,1.2,2018-09-22,0100,T,99,6.0NRT,309.1,104.9,D
-12.638,135.874,352,1.4,1.2,2018-09-22,0100,T,95,6.0NRT,310.2,80.3,D
-12.695,136.24,332.5,1.3,1.1,2018-09-22,0100,T,77,6.0NRT,306.8,24.9,D
-12.697,136.252,326.2,1.3,1.1,2018-09-22,0100,T,65,6.0NRT,308.2,13.1,D
-12.633,135.869,367.9,1.4,1.2,2018-09-22,0100,T,100,6.0NRT,311.6,148.2,D
-12.635,135.882,336.2,1.4,1.2,2018-09-22,0100,T,82,6.0NRT,308.8,32.8,D
-12.695,136.247,329.6,1.3,1.1,2018-09-22,0100,T,73,6.0NRT,307.7,18.6,D
-12.656,135.878,331.8,1.4,1.2,2018-09-22,0100,T,77,6.0NRT,310.3,23.2,D
-12.658,135.891,343.9,1.4,1.2,2018-09-22,0100,T,89,6.0NRT,309.1,53.3,D
-12.432,134.247,325.6,1.8,1.3,2018-09-22,0100,T,63,6.0NRT,305.1,18.6,D
-12.626,135.431,328.5,1.5,1.2,2018-09-22,0100,T,57,6.0NRT,308.5,16.2,D
-12.629,135.444,354.9,1.5,1.2,2018-09-22,0100,T,97,6.0NRT,311.1,98,D
-12.641,135.456,347.3,1.5,1.2,2018-09-22,0100,T,92,6.0NRT,309.5,65.9,D
-12.644,135.469,337.4,1.5,1.2,2018-09-22,0100,T,84,6.0NRT,310.7,36.3,D
-12.646,135.483,328.9,1.5,1.2,2018-09-22,0100,T,55,6.0NRT,310,17,D
-12.658,135.494,345.8,1.5,1.2,2018-09-22,0100,T,91,6.0NRT,309.7,63.7,D
-12.661,135.507,330.5,1.5,1.2,2018-09-22,0100,T,67,6.0NRT,309.4,20.6,D
-12.662,135.487,328.7,1.5,1.2,2018-09-22,0100,T,71,6.0NRT,308.4,18,D
-12.664,135.5,339.8,1.5,1.2,2018-09-22,0100,T,86,6.0NRT,310,44.5,D
-12.728,135.821,345.5,1.4,1.2,2018-09-22,0100,T,91,6.0NRT,309.9,60.9,D
-12.73,135.834,332,1.4,1.2,2018-09-22,0100,T,77,6.0NRT,310.1,25.2,D
-13.824,143.123,320.3,1.4,1.2,2018-09-22,0100,T,60,6.0NRT,300.9,12.7,D
-12.239,132.642,320.5,2.4,1.5,2018-09-22,0100,T,23,6.0NRT,301.1,24.6,D
-12.243,132.664,330.8,2.4,1.5,2018-09-22,0100,T,77,6.0NRT,301.4,66.1,D
-12.59,134.308,324.5,1.8,1.3,2018-09-22,0100,T,63,6.0NRT,307,18.1,D
-12.825,135.721,329.4,1.4,1.2,2018-09-22,0100,T,68,6.0NRT,309.8,20.2,D
-12.728,135.061,328.3,1.6,1.2,2018-09-22,0100,T,46,6.0NRT,307.4,16.1,D
-12.928,136.292,330.8,1.3,1.1,2018-09-22,0100,T,74,6.0NRT,307.4,23,D
-12.739,135.059,331.5,1.6,1.2,2018-09-22,0100,T,47,6.0NRT,309.9,24.5,D
-12.64,134.316,328.5,1.8,1.3,2018-09-22,0100,T,70,6.0NRT,306.5,29.4,D
-12.938,136.157,371.6,1.3,1.1,2018-09-22,0100,T,100,6.0NRT,309.2,158.8,D
-12.94,136.169,338.6,1.3,1.1,2018-09-22,0100,T,84,6.0NRT,308.1,39.8,D
-12.948,136.156,340.3,1.3,1.1,2018-09-22,0100,T,86,6.0NRT,307.3,43.2,D
-12.95,136.168,363.3,1.3,1.1,2018-09-22,0100,T,100,6.0NRT,309.5,118.5,D
-12.952,136.179,333.2,1.3,1.1,2018-09-22,0100,T,78,6.0NRT,307.1,26.7,D
-12.792,135.108,328.5,1.5,1.2,2018-09-22,0100,T,66,6.0NRT,309.8,21.5,D
-12.96,136.166,355.4,1.3,1.1,2018-09-22,0100,T,97,6.0NRT,309.4,86,D
-12.962,136.178,345.6,1.3,1.1,2018-09-22,0100,T,90,6.0NRT,307.9,55.5,D
-12.647,134.308,324.9,1.8,1.3,2018-09-22,0100,T,34,6.0NRT,305.4,20.1,D
-12.957,136.16,341.6,1.3,1.1,2018-09-22,0100,T,87,6.0NRT,308.6,43.2,D
-12.959,136.172,359.1,1.3,1.1,2018-09-22,0100,T,99,6.0NRT,310.3,100.8,D
-12.961,136.184,325.9,1.3,1.1,2018-09-22,0100,T,41,6.0NRT,306.2,14.3,D
-12.795,135.115,330.6,1.5,1.2,2018-09-22,0100,T,75,6.0NRT,308.5,25.3,D
-12.806,135.113,336.4,1.5,1.2,2018-09-22,0100,T,83,6.0NRT,311.8,40.7,D
-12.808,135.127,332.9,1.5,1.2,2018-09-22,0100,T,79,6.0NRT,308.1,29.7,D
-12.813,135.156,374.5,1.5,1.2,2018-09-22,0100,T,100,6.0NRT,314.7,215.2,D
-12.815,135.17,345.6,1.5,1.2,2018-09-22,0100,T,91,6.0NRT,311.3,69.5,D
-12.982,136.18,363,1.3,1.1,2018-09-22,0100,T,100,6.0NRT,311,115.9,D
-12.983,136.192,340.9,1.3,1.1,2018-09-22,0100,T,87,6.0NRT,308.5,43.8,D
-12.665,134.205,320.9,1.8,1.3,2018-09-22,0100,T,42,6.0NRT,305.4,14.4,D
-12.668,134.222,323.7,1.8,1.3,2018-09-22,0100,T,60,6.0NRT,306.8,19.9,D
-12.671,134.238,326.6,1.8,1.3,2018-09-22,0100,T,69,6.0NRT,306,26.3,D
-12.824,135.154,343.5,1.5,1.2,2018-09-22,0100,T,89,6.0NRT,313.6,61,D
-12.826,135.168,355.4,1.5,1.2,2018-09-22,0100,T,97,6.0NRT,313.2,108.1,D
-12.994,136.19,328.3,1.3,1.1,2018-09-22,0100,T,45,6.0NRT,308.2,17.8,D
-12.837,135.166,331.8,1.5,1.2,2018-09-22,0100,T,77,6.0NRT,312,28.3,D
-13.042,136.363,331.3,1.3,1.1,2018-09-22,0100,T,54,6.0NRT,305.6,23.6,D
-13.044,136.374,332,1.3,1.1,2018-09-22,0100,T,65,6.0NRT,306.3,23.5,D
-12.861,135.176,335.4,1.5,1.2,2018-09-22,0100,T,67,6.0NRT,311.8,32.6,D
-12.864,135.19,337.3,1.5,1.2,2018-09-22,0100,T,75,6.0NRT,310.1,39.3,D
-13.056,136.384,326.2,1.3,1.1,2018-09-22,0100,T,51,6.0NRT,307.4,14.5,D
-12.404,132.369,327.8,2.5,1.5,2018-09-22,0100,T,50,6.0NRT,305.5,52.3,D
-12.874,135.188,346,1.5,1.2,2018-09-22,0100,T,91,6.0NRT,312.4,69,D
-13.066,136.382,324.2,1.3,1.1,2018-09-22,0100,T,30,6.0NRT,307.2,11.8,D
-12.417,132.366,324.3,2.5,1.5,2018-09-22,0100,T,50,6.0NRT,305.6,35.6,D
-12.885,135.186,333,1.5,1.2,2018-09-22,0100,T,70,6.0NRT,310.8,28.1,D
-12.397,132.364,324.7,2.5,1.5,2018-09-22,0100,T,36,6.0NRT,303.6,36.9,D
-12.924,135.202,333.9,1.5,1.2,2018-09-22,0100,T,80,6.0NRT,311.3,32.9,D
-12.927,135.216,343,1.5,1.2,2018-09-22,0100,T,89,6.0NRT,310.2,60.4,D
-12.937,135.214,338.9,1.5,1.2,2018-09-22,0100,T,85,6.0NRT,311,47.8,D
-13.069,136.024,325.6,1.3,1.1,2018-09-22,0100,T,58,6.0NRT,307.9,14.6,D
-13.08,136.023,331.6,1.3,1.1,2018-09-22,0100,T,76,6.0NRT,308.3,25.7,D
-13.088,136.009,328.7,1.3,1.1,2018-09-22,0100,T,55,6.0NRT,307.5,21.8,D
-12.644,132.851,325.3,2.3,1.5,2018-09-22,0100,T,66,6.0NRT,307,28.2,D
-13.997,141.528,323.6,1.1,1.1,2018-09-22,0100,T,37,6.0NRT,296.2,12.4,D
-13.998,141.538,359,1.1,1.1,2018-09-22,0100,T,93,6.0NRT,300.6,86.3,D
-12.657,132.849,343,2.3,1.5,2018-09-22,0100,T,89,6.0NRT,306.1,112.3,D
-12.661,132.87,334.2,2.3,1.5,2018-09-22,0100,T,82,6.0NRT,306.4,62.7,D
-14.008,141.537,364.2,1.1,1.1,2018-09-22,0100,T,75,6.0NRT,302.4,101.1,D
-14.009,141.548,334.9,1.1,1.1,2018-09-22,0100,T,78,6.0NRT,301.7,24.7,D
-14.042,141.575,346.2,1.1,1.1,2018-09-22,0100,T,0,6.0NRT,303.9,46.2,N
-14.043,141.585,344.3,1.1,1.1,2018-09-22,0100,T,69,6.0NRT,304.8,40.9,N
-14.051,141.638,337.3,1.1,1.1,2018-09-22,0100,T,64,6.0NRT,305.9,24.7,N
-14.052,141.648,329.7,1.1,1.1,2018-09-22,0100,T,54,6.0NRT,304.7,12.5,N
27.239,140.88,310.4,2.4,1.5,2018-09-22,0050,T,36,6.0NRT,298,20.5,D
-14.047,141.579,369.1,1.1,1.1,2018-09-22,0105,T,99,6.0NRT,306.5,0,D
-14.056,141.642,332.7,1.1,1.1,2018-09-22,0105,T,52,6.0NRT,305.1,17.2,D
-14.058,141.588,336.3,1.1,1.1,2018-09-22,0105,T,63,6.0NRT,304,24.6,D
-13.234,135.77,327.6,1.4,1.2,2018-09-22,0105,T,70,6.0NRT,309.5,16.4,D
-13.353,134.176,324.7,1.8,1.3,2018-09-22,0105,T,65,6.0NRT,306.7,20.9,D
-13.356,134.192,324.7,1.8,1.3,2018-09-22,0105,T,65,6.0NRT,306.7,20.1,D
-14.55,141.837,338.5,1.2,1.1,2018-09-22,0105,T,85,6.0NRT,304.9,33.9,D
-14.552,141.848,342.2,1.2,1.1,2018-09-22,0105,T,88,6.0NRT,304.8,42,D
-14.555,141.87,327.5,1.2,1.1,2018-09-22,0105,T,61,6.0NRT,303.9,15.4,D
-14.556,141.803,352.4,1.2,1.1,2018-09-22,0105,T,95,6.0NRT,306,67.2,D
-14.557,141.814,342.6,1.2,1.1,2018-09-22,0105,T,89,6.0NRT,306.4,41.9,D
-14.563,141.857,341.5,1.2,1.1,2018-09-22,0105,T,88,6.0NRT,305.5,39.1,D
-14.564,141.868,341,1.2,1.1,2018-09-22,0105,T,87,6.0NRT,306.4,38.6,D
-14.566,141.879,332,1.2,1.1,2018-09-22,0105,T,66,6.0NRT,304.9,22.2,D
-14.573,141.856,333.5,1.2,1.1,2018-09-22,0105,T,80,6.0NRT,306.5,21.8,D
-14.576,141.878,326.3,1.2,1.1,2018-09-22,0105,T,38,6.0NRT,306.2,12.4,D
-14.577,141.889,329.4,1.2,1.1,2018-09-22,0105,T,75,6.0NRT,304,17.8,D
