"STATION","NAME","DATE","AWND","PGTM","PRCP","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT05","WT08"
"USW00025333","SITKA AIRPORT, AK US","2018-01-01","13.87"," 0023","0.45",,,"48","38","  110","  110","31.1","38.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-02","13.65"," 0805","0.56",,,"48","43","  100","  100","21.9","27.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-03","10.51"," 0538","0.40",,,"46","41","  110","  110","23.0","28.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-04","4.25"," 1614","0.99",,,"42","40","  330","  330","12.1","13.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-05","8.50"," 2003","0.25",,,"46","38","  230","  230","28.0","34.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-06","12.08"," 0813","0.46",,,"44","37","  110","  110","29.1","36.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-07","2.46"," 0025","0.01",,,"39","30","  110","  110","10.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-08","3.13"," 2051","0.00",,,"36","28","  350","  340","8.1","8.9","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-09","5.37"," 2348","0.13","0.0",,"34","25","  110","  100","18.1","21.9","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-10","6.71"," 0020","0.00",,,"28","24","  330","  110","15.0","19.0","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-11","7.16"," 0855","0.00",,,"34","23","  340","  350","13.0","17.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-12","18.57"," 0228","0.18",,,"41","33","  110","  110","28.0","35.1","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-13","20.58"," 1239","0.05",,,"53","41","  110","  110","31.1","42.1","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-14","23.94"," 1748","0.07",,,"63","52","  100","  110","35.1","46.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-15","17.00"," 2325","0.01",,,"60","52","  110","  140","30.0","40.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-16","12.75"," 0241","0.40",,,"54","41","  190","  200","28.0","36.0","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-17","2.91"," 1008","0.01",,,"47","36","  310","  310","12.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-18","2.46"," 1529","0.00",,,"46","35","  340","  340","8.9","10.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-19","3.13"," 2257","0.00",,,"42","37","  340","  340","8.1","8.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-20","9.62"," 1927","0.00",,,"45","39","  100","  110","21.0","27.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-21","5.37"," 1954","0.00",,,"43","36","  120","  110","17.0","19.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-22","10.96"," 0923","0.42",,,"41","33","  160","  160","25.9","31.1","    1",,"    1",,
"USW00025333","SITKA AIRPORT, AK US","2018-01-23","5.14"," 0221","0.00",,,"41","33","  110","  120","17.0","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-24","6.93"," 0612","0.04",,,"40","34","  110","  110","18.1","23.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-25","11.41"," 2253","0.00",,,"40","31","  110","  110","25.9","34.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-26","10.29"," 0616","0.16",,,"41","31","  110","  100","23.9","30.0","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-27","4.03"," 2235","0.00",,,"39","29","  110","  110","17.0","21.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-28","14.76"," 1146","0.00",,,"40","34","  100","   90","31.1","42.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-29","12.75"," 0438","0.00",,,"40","36","  110","  110","23.9","32.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-30","6.04"," 0041","0.00",,,"39","31","  100","  140","15.0","19.9","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","2018-01-31","8.50"," 1354","0.00",,,"36","29","  110","  110","21.9","25.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-01","11.41"," 2302","0.00",,,"35","31","  110","  110","25.1","35.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-02","9.62"," 1347","0.00",,,"35","26","  110","  110","17.0","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-02-03","6.71"," 1419","0.00",,,"34","24","   90","  110","23.0","29.1",,,,,
